"","Site","campaign","habitat","drying_regime","flow_state","mean_mg_N2ON_m2_d","mean_soil_temp","mean_soil_VWC","mean_pool_riffle_depth_cm","sed_temp","sed_VWC","Air_temp","Temp_water_C","Mean_Velocity..m.s.","bedrock","boulders","cobbles","gravel","sand","silt","Sed_OM","DO_mg_L","pH","cond_us_cm","Freq_Flow","Freq_Dry","Freq_Ponded","latitude","longitude","m_to_source","freq_flow_2021","freq_dry_2021","freq_pool_2021","freqflow7","freqflow30","freqdry7","freqdry30","freqpool7","freqpool30","Tsince_manual","percent_C","percent_N","CN_ratio","Canopy_Cover_Benth","Stock_Benth_g.m2","Ave.wet.width_m","Embeddedness","Discharge_l_s","masl","length.IR.up","length.PR.up","percent.IR.up","percent.PR.up","Max..wetted.width..m.","Min..wetted.width..m.","Bankfull.at.max..wetted.width..m.","Bankfull.at.min..wetted.width..m.","MeanDur_Ponded","MeanDur_Dry","MeanDur_Flow","MaxDur_Ponded","MaxDur_Dry","MaxDur_Flow","sed_pH","sed_cond_uS_cm","NO3_N_mg_l","DN_ugL","DOC_ugL","SRP_ugL","NH4_N_ugL","In_stream_N2O_mg_m2_d","aquatic_conditions.x","aquatic_conditions.y"
"80","CA01","3","Riparian","perennial","flowing",0.169011891129013,13.2866666666667,0.366666666666667,NA,NA,NA,14.1912,NA,NA,NA,NA,NA,NA,NA,NA,3.28,NA,NA,454,1,0,0,45.880623,5.494407,2093.278,1,0,0,1,1,0,0,0,0,NA,8.931598363,0.472414415,18.9062782154943,NA,0.419382345,2.75,0,NA,538,1686.4,727.8,69.85336758,30.14663242,3.6,1.8,6,4,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.742494090031567,"Flowing","Flowing"
"81","CA01","5","Flowing","perennial","flowing",0.333022507715202,NA,NA,15.9,NA,NA,15.59275,11.5,0.1609,0,20,75,5,0,0,2.87,10,7.97,460,1,0,0,45.880623,5.494407,2093.278,1,0,0,1,1,0,0,0,0,NA,1.488672804,0.199959083,7.44488713223395,67.5,11.80760836,2.9,40,0.009,538,1686.4,727.8,69.85336758,30.14663242,3.9,0.8,6,4,0,0,NA,0,0,NA,7.37,124.7,0.947,866,1124.5,9,28,0.333022507715202,"Flowing","Flowing"
"82","CA01","5","Riparian","perennial","flowing",0.0547571112491218,14.6916666666667,0.35575,NA,NA,NA,15.52125,NA,NA,NA,NA,NA,NA,NA,NA,2.87,NA,NA,460,1,0,0,45.880623,5.494407,2093.278,1,0,0,1,1,0,0,0,0,NA,9.193991904,0.249541424,36.8435498869318,NA,11.80760836,2.9,40,NA,538,1686.4,727.8,69.85336758,30.14663242,3.9,0.8,6,4,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.333022507715202,"Flowing","Flowing"
"83","CA01","7","Flowing","perennial","flowing",0.174845460006498,NA,NA,NA,NA,NA,5.17533333333333,8.5,0.240981,0,30,60,10,0,0,1.19,10.83,8.1,434,1,0,0,45.880623,5.494407,2093.278,1,0,0,1,1,0,0,0,0,NA,0.383173055,0.116687865,3.28374381517735,67.5,5.437537325,2.56,40,0.013,538,1686.4,727.8,69.85336758,30.14663242,3.8,1.7,6,4,0,0,NA,0,0,NA,7.84,2310,0.719,728,1129,8,4,0.174845460006498,"Flowing","Flowing"
"84","CA01","7","Riparian","perennial","flowing",0.011579597098139,6.53333333333333,0.283666666666667,NA,NA,NA,5.17533333333333,NA,NA,NA,NA,NA,NA,NA,NA,1.19,NA,NA,434,1,0,0,45.880623,5.494407,2093.278,1,0,0,1,1,0,0,0,0,NA,5.776980173,0.29725962,19.4341235213851,NA,5.437537325,2.56,40,NA,538,1686.4,727.8,69.85336758,30.14663242,3.8,1.7,6,4,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.174845460006498,"Flowing","Flowing"
"85","CA02","1","Flowing","perennial","flowing",1.65614637030199,NA,NA,27,NA,NA,6,9.2,0.576,0,10,67,15,8,0,1.33,11.33,8.22,400,1,0,0,45.920551,5.442415,9170.02,1,0,0,1,1,0,0,0,0,NA,0.386415708,0.083610493,4.62161738479404,44.5,0.398325616,9.7,0,0.017,372,4543.3,9722.4,27.93693544,59.7834308,11,6,15,10,0,0,NA,0,0,NA,8.1,521,0.852,816,1230.5,12,1,1.65614637030199,"Flowing","Flowing"
"86","CA02","1","Riparian","perennial","flowing",0.071864883347463,5.12,0.3578,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,1.33,NA,NA,400,1,0,0,45.920551,5.442415,9170.02,1,0,0,1,1,0,0,0,0,NA,10.51184672,0.229513937,45.8004723260008,NA,0.398325616,9.7,0,NA,372,4543.3,9722.4,27.93693544,59.7834308,11,6,15,10,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.65614637030199,"Flowing","Flowing"
"87","CA02","3","Flowing","perennial","flowing",1.15814098921162,NA,NA,24.44,NA,NA,18.159,11.8,0.3232,0,15,60,20,5,0,0.29,10.49,7.71,375,1,0,0,45.920551,5.442415,9170.02,1,0,0,1,1,0,0,0,0,NA,1.001574729,0.151623022,6.60569032188265,44.5,0.451031582,6.9,0,0.447,372,4543.3,9722.4,27.93693544,59.7834308,10,3.7,15,10,0,0,NA,0,0,NA,8.29,136.7,0.801,734,1302.5,4,13,1.15814098921162,"Flowing","Flowing"
"88","CA02","3","Riparian","perennial","flowing",0.134976937139955,15.1866666666667,0.348066666666667,NA,NA,NA,18.2928,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,375,1,0,0,45.920551,5.442415,9170.02,1,0,0,1,1,0,0,0,0,NA,9.633282008,0.323373705,29.789936098855,NA,0.451031582,6.9,0,NA,372,4543.3,9722.4,27.93693544,59.7834308,10,3.7,15,10,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.15814098921162,"Flowing","Flowing"
"89","CA02","7","Flowing","perennial","flowing",0.875841789922619,NA,NA,26.7,NA,NA,2.5748,9,0.31795,0,20,70,5,5,0,1.03,11.06,8.11,386,1,0,0,45.920551,5.442415,9170.02,1,0,0,1,1,0,0,0,0,NA,0.349832275,0.053667331,6.51853312772346,44.5,5.986889182,6.4,5,0.21,372,4543.3,9722.4,27.93693544,59.7834308,8.6,3.8,15,10,0,0,NA,0,0,NA,8.52,77.6,0.82,781.5,855.5,7,13,0.875841789922619,"Flowing","Flowing"
